symbol,pvalue,gene,heat
ARF4,0.469644523706153,9606.ENSP00000306010,0.328230737392271
ARF5,0.52401014684303,9606.ENSP00000000233,0.280660303330642
ARF6,0.336067374934077,9606.ENSP00000298316,0.473573646333944
ARFGAP1,1,9606.ENSP00000263245,0
ARFGAP2,0.0686044879161489,9606.ENSP00000434442,1.16364747301824
ARFGAP3,0.281704471458002,9606.ENSP00000263245,0.55020625946036
ARFGEF1,0.00207373389891741,9606.ENSP00000262215,2.68324697294514
ARFGEF2,0.145777060006712,9606.ENSP00000360985,0.836310812755648
ARFGEF3,1,9606.ENSP00000251691,0
ARG1,0.000449128174978553,9606.ENSP00000349446,3.34762969966029
ARGLU1,1,9606.ENSP00000383059,0
ARHGAP1,0.0375134256905119,9606.ENSP00000310491,1.42581327467749
ARHGAP10,0.37889598316353,9606.ENSP00000336923,0.421479998839973
